,Headline,Link,Date
10,"From generative AI to cybersecurity, how IITs are democratising AI literacy for India’s youth",https://news.google.com/read/CBMi_AFBVV95cUxNNkRLeHlYcGxNT3l2SFZEVHk5RkVfOThVd3FRZFZaUm43YUJSaDI4amNOODdNb0JMQVNGZDdJQXJnYlFXTlZ3dW05Y1cyZ3lMdFhLdFR1VF9JS1Nhc2VzUzlxTjFrS21VRlNoNDNTdzNrZ3hKemxOM05XVHhfVWxxVjZaVE5jMGZHeFdiSVpaczhkVHNYbktYM01CWmFGZ01mRWpjZTRzVWI0VDNaal9ZVmQzRU93ZzhzMS1peGgwMFlZTXdOckwweDV5SFdnTFBqVG40SmZQUC1rODh4N2VTMmRhMHRzTmdBc2xJNEtwMTVMVXBUZVIxSXpXTEvSAYICQVVfeXFMT1FyX0FNazdmOVZURkctZG5aZHNrU1JwMzZ0bXg2ZkNEZ0ZVMVpyYzNMMERwWmVFUnMyMVoxdmF0MWtPRjl3OU1aRWNmRV8ya3dXLWVMMFExNk5WV1ZQemRtSDA1RVh5UWV1bmtSaV9QUnJEUklfQUFDSGhTVlFPMmExVERPOFNfUDNNOWxEUFNINEVSYVQ5UV9MY2UxNzZoVXZXRDNHTGtaTmVoQjFyUWVnUnZSWlJBTmw2MkY2elAzN00yTm50ems3Mm9qVlhsR1d0UE1rN1dWWlFSRVZVLVYtUTBobWFESDZaWC1zN1h5UFp1QWhZdVBhRDRPYVl5QWF3?hl=en-IN&gl=IN&ceid=IN%3Aen,22-08-2025
11,NIST Releases New Control Overlays to Manage Cybersecurity Risks in AI Systems,https://news.google.com/read/CBMiaEFVX3lxTFB2aHdtSDM4MkhvSW5SVC1FZDhGbVZJZ0pPU0R4Y29NSHo4X2xneGJMY1o3TW15VEhmMnEyX0dONXZ1MWs2QXB5dWpfWEJ4WUFzNlQwVVB6bmR0dXVURzR5cEJ0cm52THgy0gFuQVVfeXFMTU41eFFIUzVUUWh4MkRhYkFDaXpaa3BUcERjb19PUmg2M0tSOHFyd3M2R3kwdk85V1oyYk9XN3RmTy1QT19IcGFpWkt4TGg0MnNra1pNNE1yLWhISDZpYmx2QVp0d2FnUlNXNnB5MWc?hl=en-IN&gl=IN&ceid=IN%3Aen,22-08-2025
12,Automotive Cybersecurity Market | Global Market Analysis Report - 2035,https://news.google.com/read/CBMiggFBVV95cUxPX2RueTBZWFFoeFh2Nk1RdnpjVXNSbkJOZ2hqVDMxdWdVLV81dEFoN3RPMy01NGN4NHlKdm5OWWdNVWVrSDVjUGVVTC1JQVZMVkh2Z2tfWVNhZ3hOMzdBeXpMU255VGY3UmxGUXNwM3U5NWpldVV2cm10NzdTRmNRUnRn?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
13,How Cybersecurity Pros Can Use AI Skills to Reduce Alert Fatigue,https://news.google.com/read/CBMioAFBVV95cUxOVFh2UmNJNC0xdDM2Vkh2YmdSQVJCTEN6UHRnTVlOckV5MTM4VzNwYWFlZEtTbWtsanhWVVdWRkZHNW1kQ1FmZ0ctQ0RreXdDdVFJNlRNZ0tSOGpoT0l1aWRlM0pKYkNsMG44el95UHFaMzJuM3Q0MTlTa2Znb3U2QThka196UnRqU282QlZaZjFvZ2lJbDZjQlp2dnBWT180?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
14,How AI is reshaping cybersecurity operations,https://news.google.com/read/CBMilgFBVV95cUxQakxtRmxWX0pzNVVla25KYm9qekxjTldBeThpbDVFQ1Y4Yk03WnhON2g1TjZmVEJvSEJHTG91NGhWSHYtQTFwRl9lTVNHaUNxSWtxVTN0Wl9nZDBtUnphbWtiLUJISllfTUdCSVE3UEZacUpNR2laTXdLSWEwZEl4OEk2UW5jaTBPWVlxcnNMS0o2TjFrR0E?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
15,Generative AI Cybersecurity Market worth $35.50 billion by 2031 | MarketsandMarkets™,https://news.google.com/read/CBMi0wFBVV95cUxNQkFrVzZ2R0JQWFMyZnRMTm5Sa094TE8telJKa0dJMFVmTE5BV0lOOE01WXBnUjE4dXRQWmpLUXVpZGRfRDNQQ25YRWRsSnl5Zjh4NTlRaUtUamVMQmcyaV90anU2UmFvQlJIU1lweUI3aDNlZnZOUDZDOHQ2RFNvemFEdElnc1pLdDF0ZXJmQ0J3M1hORmM1NjlIVDVsSmxSLWVGRHg2Z1RySDFKd3loeXViWmxFTlVpQXNMalVPZmQ3RHROYW9TUUxtZXdhOW82QV9V?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
16,Smart manufacturing demands workers with AI and cybersecurity skills,https://news.google.com/read/CBMif0FVX3lxTFBIM2laeW1LcDVqSGNTVjk4YTBjVl9tSmszUTFIT2ZLZFRROF9CaWw4Q0ItMkxQMWstU203TEVoZlNLcVVGZXNTalNMc3JtWldGWjBuNXZfRDlrQnQyYjF3OV9RNm5paEN6cHhyQUs2d1ZDRHVxQkhaWXM0ejNxTWM?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
17,NIST SP 1331 draft guide expands CSF 2.0 for managing emerging and emergent cybersecurity risks,https://news.google.com/read/CBMixwFBVV95cUxOMmRVRmZSZTduN25aQnRxdkR1bF81TEtiekd6X1ljMEFGSWluVXhSVVljTVhaUmZlM2tOY0EySGhMZWlfMXI0Qk1QN3dZU1FBX3JUSEJVb3dDZmZ2SDRGckNBOWhJNG9iSFFjQkh2OW5qSDhXZkprR3UyY2tGYmxoZVNJcTI2dHpYa0d4THp1dFZNck9RVi1TLWZWNGNOeWpwdDY5Q1doUW13VnNtQjdrNUFJa19pc2dJcXk5c0RwNlZoSzVjZFlv?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
18,Future Of Cybersecurity: Connecting Cyber Networks Helping Others,https://news.google.com/read/CBMirgFBVV95cUxOQWxwVGpIb0h5bEUyVHVrUFcwb2ZGeXN6ZVlqSHktTmVCR0xCWFhRSGtkQThkcVRtYXNVeFItWEVuSHNrSGJ2ek80UjJtSlNBUGJvTUktekw4VHBYUWhsTmtZTUhPbkdNb0FuLUZqc0lQYTFOLXpzVF9NTGhtalhORWpTRzhHRF9jNDVVRTM5NGI0cE1GUGU1R091UmREMGE1TVBiNXpnSFV4V0Y4dmc?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
19,Telecom Fiji taps Allot for network-based cybersecurity service,https://news.google.com/read/CBMi1gFBVV95cUxNako2YTNLWXBQeUl2WUVYeWFCdXpXaGhxd1dXeV9CZ0lYNWxERUVKVzc1UmEyZmR2V0Z4VHh0YlBxa3YtTW0yaU5oTi10TTdoeTJZYnFaQjRqWmtrRVRTWmp6blNyRFJwSWhIZ0xhTWttajhHcENJUDU2MDlVZko5Y0l6RWd0VDZJZE5aSzNEMTFlcGJ4SHZHNDVmc0VGdmRrU0tyN3VabDI1TUxXZHBHVzRHRllFR0ZIOUJNdl9WUzhjR3pzLXY2TXNaY2dkbm5KQnIwaGx3?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
20,The New Mindset: Platforms Over Products,https://news.google.com/read/CBMijgFBVV95cUxOU3lGZUZ1ZTk4cE02aEVVU3dZR3ZRYXp3YXZJdHhGYmM1VTdvWm1WMzl4QnJ3ejVCWWRVMlFOX1ZxMG9OdEx0ZnBEcldXaU9rZVlWaWRNOGN0ZmJodUx0ZkhqNW5QQVk5YUxnaERhYlRQRk82N3FQTUNiZ0JPTUZJQVFrOV9XMXRXZXUzODJR?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
21,The Real Cost of Poor Cybersecurity in Hybrid Work and the ROI of Upgrades,https://news.google.com/read/CBMivwFBVV95cUxPdkE1ajg1dTY4TjlVbmZ0OG9GNnRwa281OTlWTy1XbDFxRXNuS3B5WFYwSlQ5am9CNmxBZDlqZXpjQTBRRk9DQndOSXVXSXpmdUU0SkIxVjNzaEVGSXhDTVVSbTQ4NkJnbGMzM0lIYUtPN1Q3NjExcDNtNzZXSnY1ZzRpNkdiZ0hXZ19HT1p6dVRVR2hkT2JCWTBRV1hsc3hUZktXMzZjSG9ZdzFRTnNCWFdhazRnaU1XdUd4NTU0dw?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
22,The Nexus of Cybersecurity and AI,https://news.google.com/read/CBMibEFVX3lxTFBuMDNEY014TXhLMmJRYjJ5dUhrX2x6aGhxcC1rT2ZaVjdibzFETHREOEhTa1NOcFFNcWs0UGc0SDNWYzRDcmhCZ09kazJSXzIwYl9Uazk3MzFEQnFyVDNfU1lwS2JQY1gyVzdGdQ?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
23,NIT Rourkela develops algorithm to safeguard microgrids against cyberattacks,https://news.google.com/read/CBMi1wFBVV95cUxOWkFmQV9yME8tQWxlakhpSl9qX0pPUEFvZlBuenh4WmU0a3ptOXI1cEM5MVZHSG13SnE0dGRvVDZEcU1VSzM1bmxLVXdjcVZXcEpyRWw0N3h3RjJjS3VXSTVYY3lSY2txUGpxNzNxLXJNRDdqVTk2aDlFV0NKdzMwZ0ZfRUNMQTdQQ0VUaVQyeFMzU2pYT0pjQTNmcTBGT2M4ZjRCZG44NUpldnFRZVBWNUh4Q1BaVk9rN0x1Y2pMa2NKQ2FuNWhGNW9qZ0NfbGJIbE9NT2VnQdIB3AFBVV95cUxQd2htSlhXaTR1MUZKbTlQT0J4dTR2SGp4d3QxTjl5a1JjMkJuTlRkUzlubzZ4MkZaT3hHY1JVb2pzRVZyYmpIYkpUcGpyeXkwMTJJUlF3ejZCVUhqWkREUUVDcDJKN0NCcm5reHFIMmZpUDFRcXhub2IxMjFnai04bVlLT2pyX2dFV1RrT1B0SElWdnBtSkxlU0ZkcERIc05UX21UbmxCUm1SRHZ5LUlTTEd4WTNCbTJkZ1lQZnNIX1IwOGFUa09DTzZBMlBzaktnTnZNWmFDdl9YMEhS?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
24,SEP 9-12: Trump National Security Leaders Led by Chairman of Joint Chiefs Dan Caine and NSC Cyber Lead Alex Bulazel to Speak at 16th Billington Cybersecurity Summit,https://news.google.com/read/CBMiwgJBVV95cUxNRWRUblRJOEVOS0dGRFdOay1uM0g2c3I2UDh5bDZRWGtuaVlid3RqbC1ncm5HNGZ1eUJvRkxVTW1URlBCaGQwa0d5Zl93a3d1Sm16eFQ3Zmx6QWVRUWFUellSZ2ZsUVdraXVFV0gxODhPeEwtYWtCUXlqQ1o5VGxudDN5dVl1b3p3YnlhM1dmSTBHU2RJMWxraVZJbEZkNjZpNklER3FoTlpCZ1NxQV9xem9wM0tQekVZXzFKRExBRmxyMHhuckVpS19qV3pDWEZ2WGNxWWlVUHFPOWx6V1NZbThZbnh5S3VWWXMtNlBTUFFYbmdua1Aybi1IRFlkUXZmMG5IQ0pfNFJfd2RKR2ZQYk4xWkJuYnZ1aGduTWxUYVVfTWJ4RWIwX1ZndDZlNXd4VTBOVkZzZVBWR3JwRWtKYnZB?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
25,Cybersecurity for K-12 Teachers,https://news.google.com/read/CBMia0FVX3lxTE1ITllTLW1lNGRFdzRBYks1YjB4RlowM1QzeEdvd0MtUEY2bEVEOGJjVlhLcVFGczVWMVpaLXNGbUYtVDNMRC1raEZqbnc4cTRWT29vSTBGVTVpY3UtOTN3WS13NU9CVDlnU1NB?hl=en-IN&gl=IN&ceid=IN%3Aen,21-08-2025
26,"TGCSB, ISB join hands to strengthen cybersecurity research",https://news.google.com/read/CBMiwgFBVV95cUxNZDRhVnJLb0w4eHZJUjZWUVQxcXdyX3ZrQnowVEszcGZxQUlSU0k2dGdlUEhsbEViRWxrZVhpaXBCM2p5REZ4djRoOGRCWlRKUldXQ1N0NVNhbVlUclVSN1Vhc243aXg5RDZZNlJZd01vNm5Dbl9scUZpR3FkTTFyQUZnWlVPRUtfZkQwVmNTMXZpM2FtSVBmeGktcGRweG9wYkFfZVhuRXRiRUpKTEtiNWpEQjZ2Y2U2UkhyX3p4blNad9IByAFBVV95cUxQMlduNm05d0lOTXJSenNJTzBpUUhrN1lSWW91bzdJTV9fRERxYzFERHlHbGR2Z09sRFNpUWdkUnhDTS16R0poWlBzMW9VQWxzWTFXT21XM3FvZFIxOW1EWElaTkNaaTgyZ0NQNGJaYUVtNXFuQlUyV0FIZDhBZDBOSlYxVU5NYUN3ZUlLc0FrUUZFZ0hzY1hOS3VCMm9qOWxMT0dsTUpYUDhDbFBlaDRBc2d5OXFMdXpVWGhSd242Zlp1SmhscDFzXw?hl=en-IN&gl=IN&ceid=IN%3Aen,23-08-2025
27,Rackspace launches AI-powered cybersecurity engine,https://news.google.com/read/CBMiiwFBVV95cUxOcjRkY2pXUkdiZnFBdTlVdVVDc1JtV2VGZzI5cWNvXzN6ZnJZTFdTdk9fd3VxQ2IwWWNYSUQydTdZaWk5blF2TnhCUTZEU1dEQ29KYXJxWXBQMGFlbmVSUHpmSnNMUU9MY0cyZGUtVHpOakVKQmpkVmxuRE43LTQ5RmZEZFRJUjIxdEhB?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
28,Space assets are under silent siege. Cybersecurity can’t be an afterthought,https://news.google.com/read/CBMinAFBVV95cUxNX1hkQWlGTFF3MThMazgwX0pTUkxEUHRkbFB0Y3VoMURTZDh2STFWRUNDVVExUE1yYTJvMFFNSE93aWQydm50cVl3SmxENmc2Y1IwVnpZeUd5ajR4cENQMlpINEplUWlkMnRaN0E0UmJzRFpYUFZFLW9TdXNFSFd2Q3pqTFJpYzRvbkVqenFXQl9lZkdJdmU0UmtjZjI?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
29,"Cybersecurity Market Size, Share, Analysis | Global Report 2032",https://news.google.com/read/CBMijgFBVV95cUxPMFIxZDUwdGM1SkItQTllQTFQenlBYnVnZnhpdXJkQlRSQWFFdFY4MDg0VVNSY2RaUDhjbE0xcElnNnVSNmhfQnFzQXJuLXAzbEFoaE16WXFEQWVKeURtaHZXckRFOVNHSURwN0p0OE5tLXZvT3FJVnpoWEJTLWJ2d0hOWUVxdS1rd1ktYkZB?hl=en-IN&gl=IN&ceid=IN%3Aen,04-08-2025
30,"DLA, LLC Names Cybersecurity Veteran Alex Islamov to Drive Expansion of its Cyber Practice",https://news.google.com/read/CBMi3wFBVV95cUxPWFNYSnl1SUpTT1NiYUJnX1JIQ1J0dFNieEpWd0JzLXp0R2VWdTViWENid2U0QmVGcWU2U29ITTVsbzYyR0JiZ005bFo2YUI3djVjbzRxVUFYU29OcUJHTHM5Rndlcl90LUM5NnFsV0VlYlpLNDFFS2N4VGZlTXZwai1mcnNTWFdSb1NDOHZsMEFVY2FqOXhmemVXZlhTdlJBU1lUNkl4d0VxZXVFaXc3UTJZSDJ1X2xvUWRPcm1ZLXVIVnIyV00tVkpSVjdhRXY5WU9ob2ZveS1hdUkzd2tn?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
31,Rising Cybersecurity Costs: Impact on Apple & Shareholders,https://news.google.com/read/CBMi1gFBVV95cUxNM0NmMnQ0TE01N1RFa0RnUzVCa3hhY1hIaTFRVXZtcC1BLXhnUWUxMjZpOVlVMHlkcEFmR3VxWHhvU2RNVGVvQzhrRjVzWDhWWHNyUXRvNmROUWwyRmRJb19kdWJ1czNlWExpaWVGaWZJMFkwazc2Yi1nMkdyY1FnS2tZOGRuMFBub1RFYXJha2t6Zklhak1HZW1JeEQ4ay1nWURfYmQ5cjY0V3VfQjlLd0wxRHJSOTVWeXRsSER2eVRnRmdWWHRvLTM4Z2tkYjh1MjZQVHJ3?hl=en-IN&gl=IN&ceid=IN%3Aen,24-08-2025
32,20 Emerging Cybersecurity Trends to Watch Out in 2025,https://news.google.com/read/CBMibEFVX3lxTE0zX2Q1bWpUMkNRT3pwVUh5eC0waGZvTUVOclFOMHpHNl94dHRBekRESDhTX1BueDczRnk5LXVvZWNGbDZ1UjN2a0J4SkRwQmpsOGFqWXV3bVVUSjhGanhEYkFvV3dvYkx2N1hfRw?hl=en-IN&gl=IN&ceid=IN%3Aen,31-07-2025
33,Cybersecurity in Accounting: Safeguarding America’s Financial Future,https://news.google.com/read/CBMingFBVV95cUxQMS0xM05rdFUtNlVfZFI4OFdoT0J4T3J6NERvaGFlYWJmNm83T19Lbl9JSDNMODdSM3FxOHotTVlPdWQ4REdPaEVDdUpDTkc4MF90VklYM1Q5OWI4ZFhuSGVTTjlRQXV5MkdLNGd0SVpoMnZBd0VubHJlSUc2dXBmWHoyZGRNeExYVkNaOGllamNhNHEzWXAwcjRvQmlydw?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
34,"Cybersecurity News: Malicious Go module, new Mirai botnet, Silk Typhoon exploits cloud",https://news.google.com/read/CBMiqwFBVV95cUxOV0tSb3lpbWwzUExMQ0JWM0NacmRyU1VrbzBoMFZiUTUydlc1bjNGSGtWd3JYNFlaRkx1ODNZdUphVEFLR2dsd3ZQMm9tVGZEZUpocEQ2ZlZ1dmk4WXMzQ2M5Q1ZlZ0hiVE9NdGxkMk9oU0Nmay1KcEVFS2ZTUjdxUlVBRy1tLUdrX0cxWmhYNHJYc3lXOVFiOWdOUnlqeTdSTEdHRWNHWmhONEU?hl=en-IN&gl=IN&ceid=IN%3Aen,25-08-2025
35,Cybersecurity Jobs Report: 3.5 Million Unfilled Positions In 2025,https://news.google.com/read/CBMiUEFVX3lxTE5nX0lnRU5PZmlScFhib282RDlXOWRtWmNGcEk3d3NKN296UGxDdEhNQ0tOZ1NsemRuTThyZWREVEZ5cWtCMlVaRVpySGxnRkly?hl=en-IN&gl=IN&ceid=IN%3Aen,23-02-2025
36,Power utilities eye AI to combat cyber attacks,https://news.google.com/read/CBMiuAFBVV95cUxOclMzZ0VzUFlWcENFWkswTjNfNVEzS2F0X3cwTHdHRm84UG9lYlo4RE1hSGhyT3lHSi1iWWtDLURxdDFtN3htMkVkaFFZWmZDVUoxbFVURkROQjZpanBTWFRwYnlBYUZxME11TDF4SE5oMk5DcHRlQmVNblAxRWY1NGZHc2UyMDc0d0QtNVBfVDVjT0U1LXJDMkxJSG4zU0tTUFJ6WGFGNEJhcy1yNGkxX0t0dkJFN2po0gG_AUFVX3lxTE9Jc1hCbnBSd2ZYYXhxTkRuRl9iYllvdHNsZ1hEZ1FhX1RiQ0JEc2NwX0ZRNXlSYXJEZVBWSFRVY1BHX2tQdUlqSW5JRnMwMV8yUnRIX2YtQ2ZGTWV5U3pCbG5lTkFqcS1pOEhVQmhSVXFZUVBkRC1hdjEzeHhXU2JOYWRraFBTRzdxRHVITTdLSTlGOW1JZlJGMFpFWTZyYTkwRldrVXFhMDAwQzQxZlN4VmNUbmVad3hsLW1Xcl9n?hl=en-IN&gl=IN&ceid=IN%3Aen,24-08-2025
